#	ChaveMDFe	EmitenteMDFe	DataAutorizacaoMDFe	
1	25210708046796000397580010000024661989549005	08046796000397	2021-07-01 14:15:09	2021-07-03 14:15:09
2	31210708046796000125580010000214731249552788	08046796000125	2021-07-01 14:15:09	2021-07-03 14:15:09
3	42210708046796000710580010000047141513664451	08046796000710	2021-07-01 14:15:09	2021-07-03 14:15:09
4	42210708046796000710580010000047131055979896	08046796000710	2021-07-01 14:15:09	2021-07-03 14:15:09
5	42210708046796000710580010000047121128287070	08046796000710	2021-07-01 14:15:09	2021-07-03 14:15:09
6	42210708046796000710580010000047111865787248	08046796000710	2021-07-01 14:15:09	2021-07-03 14:15:09
7	42210708046796000710580010000047101968774672	08046796000710	2021-07-01 14:15:09	2021-07-03 14:15:09
8	33210708046796000630580010000055191909026036	08046796000630	2021-07-01 14:15:09	2021-07-03 14:15:09
9	33210708046796000630580010000055181839214893	08046796000630	2021-07-01 14:15:09	2021-07-03 14:15:09
10	33210708046796000630580010000055171950496403	08046796000630	2021-07-01 14:15:09	2021-07-03 14:15:09
11	33210708046796000630580010000055161144875226	08046796000630	2021-07-01 14:15:09	2021-07-03 14:15:09
12	33210708046796000630580010000055151732119573	08046796000630	2021-07-01 14:15:09	2021-07-03 14:15:09
13	42210708046796000710580010000046991386600729	08046796000710	2021-07-01 14:15:09	2021-07-03 14:15:09
